user_id	inter_seq	scene	cat	target	pred_path
1	[57]	3	0	60	[60]
5	[56]	3	0	55	[55]
5	[56]	3	0	57	[55, 57]
5	[56]	3	0	58	[55, 57, 58]
5	[56, 55]	3	0	57	[57]
5	[56, 55]	3	0	58	[57, 58]
5	[56, 55, 57]	3	0	58	[58]
7	[55]	3	0	56	[56]
8	[55]	3	0	60	[60]
15	[55]	3	0	57	[57]
16	[55]	3	0	56	[56]
21	[55]	1	0	56	[56]
21	[55]	1	0	57	[56, 57]
21	[55]	1	0	58	[56, 57, 58]
21	[55]	1	0	59	[56, 57, 58, 59]
21	[55]	1	0	60	[56, 57, 58, 59, 60]
21	[55]	1	0	61	[56, 57, 58, 59, 60, 61]
21	[55]	1	0	63	[56, 57, 58, 59, 60, 61, 63]
21	[55, 56]	1	0	57	[57]
21	[55, 56]	1	0	58	[57, 58]
21	[55, 56]	1	0	59	[57, 58, 59]
21	[55, 56]	1	0	60	[57, 58, 59, 60]
21	[55, 56]	1	0	61	[57, 58, 59, 60, 61]
21	[55, 56]	1	0	63	[57, 58, 59, 60, 61, 63]
21	[55, 56, 57]	1	0	58	[58]
21	[55, 56, 57]	1	0	59	[58, 59]
21	[55, 56, 57]	1	0	60	[58, 59, 60]
21	[55, 56, 57]	1	0	61	[58, 59, 60, 61]
21	[55, 56, 57]	1	0	63	[58, 59, 60, 61, 63]
21	[55, 56, 57, 58]	1	0	59	[59]
21	[55, 56, 57, 58]	1	0	60	[59, 60]
21	[55, 56, 57, 58]	1	0	61	[59, 60, 61]
21	[55, 56, 57, 58]	1	0	63	[59, 60, 61, 63]
21	[55, 56, 57, 58, 59]	1	0	60	[60]
21	[55, 56, 57, 58, 59]	1	0	61	[60, 61]
21	[55, 56, 57, 58, 59]	1	0	63	[60, 61, 63]
21	[55, 56, 57, 58, 59, 60]	1	0	61	[61]
21	[55, 56, 57, 58, 59, 60]	1	0	63	[61, 63]
21	[55, 56, 57, 58, 59, 60, 61]	1	0	63	[63]
23	[55]	0	0	56	[56]
23	[55]	0	0	59	[56, 59]
23	[55, 56]	0	0	59	[59]
27	[55]	3	0	56	[56]
31	[55]	3	0	56	[56]
31	[55]	3	0	57	[56, 57]
31	[55, 56]	3	0	57	[57]
35	[57]	1	0	55	[55]
35	[57]	1	0	58	[55, 58]
35	[57]	1	0	59	[55, 58, 59]
35	[57]	1	0	60	[55, 58, 59, 60]
35	[57]	1	0	61	[55, 58, 59, 60, 61]
35	[57]	1	0	62	[55, 58, 59, 60, 61, 62]
35	[57, 55]	1	0	58	[58]
35	[57, 55]	1	0	59	[58, 59]
35	[57, 55]	1	0	60	[58, 59, 60]
35	[57, 55]	1	0	61	[58, 59, 60, 61]
35	[57, 55]	1	0	62	[58, 59, 60, 61, 62]
35	[57, 55, 58]	1	0	59	[59]
35	[57, 55, 58]	1	0	60	[59, 60]
35	[57, 55, 58]	1	0	61	[59, 60, 61]
35	[57, 55, 58]	1	0	62	[59, 60, 61, 62]
35	[57, 55, 58, 59]	1	0	60	[60]
35	[57, 55, 58, 59]	1	0	61	[60, 61]
35	[57, 55, 58, 59]	1	0	62	[60, 61, 62]
35	[57, 55, 58, 59, 60]	1	0	61	[61]
35	[57, 55, 58, 59, 60]	1	0	62	[61, 62]
35	[57, 55, 58, 59, 60, 61]	1	0	62	[62]
40	[55]	1	0	56	[56]
40	[55]	1	0	57	[56, 57]
40	[55]	1	0	58	[56, 57, 58]
40	[55]	1	0	59	[56, 57, 58, 59]
40	[55]	1	0	60	[56, 57, 58, 59, 60]
40	[55, 56]	1	0	57	[57]
40	[55, 56]	1	0	58	[57, 58]
40	[55, 56]	1	0	59	[57, 58, 59]
40	[55, 56]	1	0	60	[57, 58, 59, 60]
40	[55, 56, 57]	1	0	58	[58]
40	[55, 56, 57]	1	0	59	[58, 59]
40	[55, 56, 57]	1	0	60	[58, 59, 60]
40	[55, 56, 57, 58]	1	0	59	[59]
40	[55, 56, 57, 58]	1	0	60	[59, 60]
40	[55, 56, 57, 58, 59]	1	0	60	[60]
41	[55]	2	4	56	[56]
41	[55]	2	4	58	[56, 58]
41	[55]	2	4	57	[56, 58, 57]
41	[55]	2	4	59	[56, 58, 57, 59]
41	[55]	2	4	61	[56, 58, 57, 59, 61]
41	[55]	2	4	60	[56, 58, 57, 59, 61, 60]
41	[55]	2	4	63	[56, 58, 57, 59, 61, 60, 63]
41	[55, 56]	2	4	58	[58]
41	[55, 56]	2	4	57	[58, 57]
41	[55, 56]	2	4	59	[58, 57, 59]
41	[55, 56]	2	4	61	[58, 57, 59, 61]
41	[55, 56]	2	4	60	[58, 57, 59, 61, 60]
41	[55, 56]	2	4	63	[58, 57, 59, 61, 60, 63]
41	[55, 56, 58]	2	4	57	[57]
41	[55, 56, 58]	2	4	59	[57, 59]
41	[55, 56, 58]	2	4	61	[57, 59, 61]
41	[55, 56, 58]	2	4	60	[57, 59, 61, 60]
41	[55, 56, 58]	2	4	63	[57, 59, 61, 60, 63]
41	[55, 56, 58, 57]	2	4	59	[59]
41	[55, 56, 58, 57]	2	4	61	[59, 61]
41	[55, 56, 58, 57]	2	4	60	[59, 61, 60]
41	[55, 56, 58, 57]	2	4	63	[59, 61, 60, 63]
41	[55, 56, 58, 57, 59]	2	4	61	[61]
41	[55, 56, 58, 57, 59]	2	4	60	[61, 60]
41	[55, 56, 58, 57, 59]	2	4	63	[61, 60, 63]
41	[55, 56, 58, 57, 59, 61]	2	4	60	[60]
41	[55, 56, 58, 57, 59, 61]	2	4	63	[60, 63]
41	[55, 56, 58, 57, 59, 61, 60]	2	4	63	[63]
46	[59]	1	0	55	[55]
46	[59]	1	0	56	[55, 56]
46	[59]	1	0	57	[55, 56, 57]
46	[59]	1	0	58	[55, 56, 57, 58]
46	[59]	1	0	60	[55, 56, 57, 58, 60]
46	[59]	1	0	61	[55, 56, 57, 58, 60, 61]
46	[59]	1	0	62	[55, 56, 57, 58, 60, 61, 62]
46	[59, 55]	1	0	56	[56]
46	[59, 55]	1	0	57	[56, 57]
46	[59, 55]	1	0	58	[56, 57, 58]
46	[59, 55]	1	0	60	[56, 57, 58, 60]
46	[59, 55]	1	0	61	[56, 57, 58, 60, 61]
46	[59, 55]	1	0	62	[56, 57, 58, 60, 61, 62]
46	[59, 55, 56]	1	0	57	[57]
46	[59, 55, 56]	1	0	58	[57, 58]
46	[59, 55, 56]	1	0	60	[57, 58, 60]
46	[59, 55, 56]	1	0	61	[57, 58, 60, 61]
46	[59, 55, 56]	1	0	62	[57, 58, 60, 61, 62]
46	[59, 55, 56, 57]	1	0	58	[58]
46	[59, 55, 56, 57]	1	0	60	[58, 60]
46	[59, 55, 56, 57]	1	0	61	[58, 60, 61]
46	[59, 55, 56, 57]	1	0	62	[58, 60, 61, 62]
46	[59, 55, 56, 57, 58]	1	0	60	[60]
46	[59, 55, 56, 57, 58]	1	0	61	[60, 61]
46	[59, 55, 56, 57, 58]	1	0	62	[60, 61, 62]
46	[59, 55, 56, 57, 58, 60]	1	0	61	[61]
46	[59, 55, 56, 57, 58, 60]	1	0	62	[61, 62]
46	[59, 55, 56, 57, 58, 60, 61]	1	0	62	[62]
47	[55]	1	0	56	[56]
47	[55]	1	0	57	[56, 57]
47	[55]	1	0	58	[56, 57, 58]
47	[55]	1	0	59	[56, 57, 58, 59]
47	[55]	1	0	60	[56, 57, 58, 59, 60]
47	[55]	1	0	61	[56, 57, 58, 59, 60, 61]
47	[55, 56]	1	0	57	[57]
47	[55, 56]	1	0	58	[57, 58]
47	[55, 56]	1	0	59	[57, 58, 59]
47	[55, 56]	1	0	60	[57, 58, 59, 60]
47	[55, 56]	1	0	61	[57, 58, 59, 60, 61]
47	[55, 56, 57]	1	0	58	[58]
47	[55, 56, 57]	1	0	59	[58, 59]
47	[55, 56, 57]	1	0	60	[58, 59, 60]
47	[55, 56, 57]	1	0	61	[58, 59, 60, 61]
