user_id	inter_seq	scene	cat	target	pred_path
1819	[123, 124]	0	1	129	[126, 128, 135, 127, 129]
5964	[136, 125]	1	1	130	[127, 135, 124, 123, 126, 128, 131, 130]
8610	[124, 123, 128, 135, 127, 129, 131]	1	1	132	[132]
2504	[136, 123, 125, 126, 124, 131, 129, 128]	3	1	127	[135, 127]
2410	[136, 123, 125, 126, 124]	3	1	128	[135, 127, 131, 129, 128]
4494	[136, 124, 126, 127, 135, 128, 129, 130, 131, 132]	3	1	133	[133]
5962	[125, 136, 127, 135, 124, 123, 126]	1	4	130	[128, 131, 130]
6739	[136, 132, 135]	2	3	124	[128, 127, 124]
6809	[135, 127, 123, 124, 126]	2	2	129	[128, 129]
3375	[136]	0	4	124	[124]
1697	[135, 124, 129]	0	1	126	[128, 126]
1380	[124, 131, 129, 127]	0	1	128	[135, 128]
8176	[136, 123, 124]	1	1	131	[126, 125, 127, 135, 128, 129, 130, 131]
1348	[136, 131]	0	1	123	[127, 123]
8589	[123, 135, 126, 127, 124, 129, 128]	1	1	134	[130, 131, 132, 134]
7250	[123, 124]	1	1	133	[132, 126, 128, 135, 127, 129, 131, 130, 133]
5450	[136, 123, 124, 131]	1	4	127	[125, 128, 129, 130, 126, 127]
4105	[127]	3	2	129	[123, 126, 128, 129]
3025	[136, 123]	3	1	129	[125, 127, 126, 124, 131, 135, 128, 129]
1293	[136, 123]	0	1	135	[135]
142	[123]	0	1	124	[124]
5040	[123]	2	0	124	[124]
4041	[127]	3	1	129	[123, 126, 128, 129]
1575	[136]	0	0	135	[135]
8372	[136, 126]	2	0	124	[135, 128, 123, 124]
6814	[136, 127, 128, 135]	2	4	124	[124]
6019	[135, 127]	2	0	129	[124, 126, 129]
1176	[136, 123, 131, 130]	3	3	129	[124, 125, 126, 127, 135, 128, 129]
7249	[123, 124, 126, 128, 135]	1	0	133	[127, 129, 131, 130, 132, 133]
5436	[136, 123, 131, 125]	1	1	130	[126, 124, 127, 128, 129, 130]
6309	[136]	2	0	123	[123]
887	[135, 124, 129]	0	1	128	[128]
2038	[123]	0	1	136	[136]
5597	[129, 135]	2	4	128	[128]
7455	[136]	2	1	123	[123]
7323	[135]	2	1	130	[136, 125, 127, 123, 130]
2526	[136, 123, 125, 126, 131, 124, 135, 129, 128]	3	4	127	[127]
1392	[136]	0	4	130	[135, 131, 130]
2834	[136, 123, 126, 125, 124, 127]	3	4	135	[131, 129, 128, 135]
6933	[123, 124, 126, 125, 127]	2	1	128	[128]
7465	[136]	2	1	123	[123]
83	[125]	3	1	130	[127, 130]
6719	[123, 124, 136, 127]	2	3	129	[129]
4016	[123, 127, 136, 125, 126, 124, 129, 135]	3	1	130	[130]
470	[136, 123]	0	1	124	[124]
7527	[136]	2	2	123	[123]
4983	[126]	2	1	124	[124]
3408	[126, 131]	2	4	128	[128]
4500	[136, 124]	3	1	134	[126, 135, 127, 128, 130, 131, 132, 129, 134]
1701	[136, 123, 124, 127]	0	1	129	[135, 128, 130, 129]
666	[135, 128]	0	1	123	[129, 123]
2200	[136]	3	1	127	[123, 125, 126, 124, 131, 129, 128, 135, 127]
5697	[136, 125, 123]	2	1	126	[130, 126]
7202	[136]	2	4	130	[130]
6987	[136, 123]	1	3	128	[124, 126, 125, 127, 135, 128]
2703	[136]	3	1	127	[123, 125, 126, 124, 131, 129, 128, 135, 127]
5314	[136, 126, 125, 127, 135, 123, 124, 128, 129]	1	4	133	[130, 131, 132, 133]
1827	[136, 123, 124]	0	1	130	[126, 125, 127, 128, 129, 130]
3954	[127, 123, 126]	3	1	129	[128, 129]
7841	[123, 127, 124]	2	1	129	[126, 129]
6407	[123]	2	1	124	[126, 136, 124]
