user_id	inter_seq	scene	cat	target	pred_path
1978	[56, 55, 57]	2	2	63	[58, 59, 60, 61, 63]
407	[56, 55, 57, 58, 59, 60]	0	2	61	[61]
91	[55, 56, 57, 58, 59]	0	2	61	[60, 61]
2512	[56, 57, 58, 59]	2	2	55	[60, 55]
3980	[62]	1	0	61	[61]
429	[55, 56, 57]	3	0	60	[58, 60]
1989	[55]	2	2	63	[57, 59, 58, 60, 56, 61, 63]
741	[55, 56, 57, 58]	0	3	61	[59, 60, 61]
4310	[55]	1	2	59	[56, 57, 58, 59]
1878	[55, 56, 57, 58, 59, 60, 61]	2	1	62	[62]
3888	[55, 58, 59, 60, 61]	2	2	56	[62, 57, 56]
2187	[55, 56]	2	4	61	[57, 58, 59, 60, 61]
125	[55]	3	0	57	[56, 57]
1770	[55, 60, 57, 58]	2	2	62	[59, 62]
3881	[55, 58, 56, 57, 59]	2	2	62	[61, 60, 62]
636	[56, 55, 57, 58, 62, 61]	0	3	60	[60]
1562	[55, 57, 58]	2	1	60	[59, 61, 56, 60]
1896	[55, 56]	2	1	61	[57, 58, 59, 60, 61]
4370	[55]	1	1	56	[56]
590	[56, 55, 57, 58, 59]	0	1	61	[60, 61]
2467	[62, 56, 55, 57, 60]	2	2	61	[59, 58, 61]
783	[56, 55, 57, 58, 59]	0	4	62	[60, 62]
1542	[55, 57]	2	0	63	[61, 56, 59, 58, 60, 63]
193	[55, 56, 57, 58]	0	4	62	[59, 60, 61, 62]
149	[56, 55]	0	0	61	[57, 58, 59, 60, 61]
2130	[55, 56, 57, 58, 59]	2	4	62	[60, 61, 62]
246	[55, 56]	3	3	57	[57]
1839	[55, 56, 58]	1	2	59	[57, 59]
618	[56, 55, 57]	0	1	62	[58, 59, 61, 60, 62]
3178	[55]	1	2	57	[57]
321	[55, 59, 57, 58]	3	3	60	[60]
505	[55]	3	3	57	[57]
3164	[56]	1	2	58	[55, 57, 58]
2547	[59, 57]	2	4	61	[60, 55, 56, 58, 62, 61]
4382	[58, 57, 56]	1	2	59	[59]
3762	[55]	1	2	56	[56]
1841	[55]	1	2	58	[57, 58]
300	[56, 55, 57]	0	4	61	[58, 59, 60, 61]
467	[55]	0	0	62	[56, 57, 58, 59, 60, 61, 62]
2236	[55, 58]	1	4	59	[57, 59]
2463	[59, 56, 55, 57, 58]	2	2	63	[61, 60, 63]
558	[55, 56, 57, 58, 60, 59]	0	1	61	[61]
142	[55, 56, 57, 58]	0	1	62	[59, 60, 61, 62]
668	[55, 56, 57, 58, 59, 60]	0	0	61	[61]
351	[60]	1	1	59	[59]
1556	[55, 56, 57, 58, 59, 60]	2	3	61	[61]
98	[55, 56, 57, 58, 59]	0	2	62	[60, 61, 62]
1798	[55]	1	0	57	[57]
2432	[55, 57]	1	2	59	[59]
2399	[55]	1	1	56	[57, 56]
1811	[55]	1	2	59	[56, 57, 58, 59]
4335	[55, 56]	1	2	59	[57, 58, 59]
1933	[56, 55, 57, 59, 58, 60, 61]	2	1	63	[63]
2443	[55, 56, 57]	2	2	62	[58, 59, 60, 61, 62]
133	[56]	0	0	62	[55, 57, 58, 59, 60, 61, 62]
2137	[55, 56, 57]	2	2	60	[58, 59, 60]
88	[55]	0	2	61	[56, 57, 58, 59, 60, 61]
3766	[55, 56, 57]	1	2	58	[58]
2392	[55, 57, 60, 56, 58]	2	2	59	[59]
3739	[55, 58, 56]	1	2	60	[57, 60]
1634	[55]	1	4	56	[56]
417	[55, 56, 57, 58]	0	0	61	[59, 60, 61]
373	[55, 57]	3	3	59	[59]
644	[55, 56, 57, 58, 59]	0	2	61	[60, 61]
1595	[55]	1	2	61	[57, 58, 61]
1667	[55]	1	2	57	[57]
2324	[55, 56, 57, 58]	1	3	59	[59]
542	[59]	3	1	55	[55]
284	[55, 56, 57]	0	4	60	[58, 59, 62, 61, 60]
3982	[55, 56, 57]	1	2	58	[58]
2031	[55, 56, 57, 58]	2	4	61	[59, 60, 61]
1035	[55, 56]	3	2	57	[57]
1788	[55, 57, 58]	1	4	60	[59, 60]
425	[59, 55, 56, 57, 58]	0	0	62	[60, 61, 62]
2890	[57, 59, 58]	2	2	61	[60, 63, 61]
222	[56, 55, 57, 58]	0	3	61	[59, 60, 61]
2409	[55]	2	3	62	[56, 57, 58, 59, 60, 61, 62]
2094	[55, 56, 57, 58, 59]	2	2	63	[60, 61, 63]
3432	[59, 55, 56]	1	2	57	[57]
2112	[55]	1	3	58	[56, 57, 58]
66	[55]	3	2	56	[56]
2517	[55, 56]	1	1	57	[57]
1674	[55]	2	2	62	[56, 57, 58, 59, 60, 61, 62]
1666	[55, 56, 57, 58, 59, 60, 61]	2	0	62	[62]
2298	[55, 56, 57, 58, 59, 60, 61]	2	0	63	[63]
2381	[55]	2	0	61	[59, 57, 56, 58, 60, 61]
4383	[55, 56, 57]	1	2	59	[58, 59]
598	[56, 57, 58]	3	1	55	[61, 55]
3957	[55]	1	2	56	[56]
41	[55]	2	1	63	[56, 58, 57, 59, 61, 60, 63]
2390	[58, 55]	2	2	63	[60, 56, 62, 57, 59, 63]
603	[56, 55, 57, 58, 59]	0	4	61	[60, 61]
3753	[55, 56]	1	2	62	[57, 62]
2602	[55]	1	3	56	[56]
1919	[55, 56]	1	1	59	[57, 59]
78	[55]	3	2	57	[56, 57]
1912	[56]	2	0	60	[55, 57, 58, 59, 63, 61, 60]
1842	[55, 56, 57]	1	1	58	[58]
628	[56, 58, 57, 60]	0	3	62	[61, 55, 62]
3162	[55, 56, 57]	1	2	59	[59]
1971	[55, 56]	1	2	58	[57, 58]
1938	[55]	1	4	58	[57, 58]
1572	[56]	1	2	55	[55]
4364	[57]	1	2	55	[55]
2115	[55, 56, 61, 57, 58]	2	4	60	[59, 60]
2175	[55, 56, 57, 58, 59]	2	4	63	[60, 61, 63]
656	[55, 56, 57, 58]	0	3	61	[59, 60, 61]
3705	[55]	1	2	57	[56, 57]
194	[55, 56, 57, 58, 59]	0	3	61	[60, 61]
2308	[55, 56]	1	4	58	[57, 58]
1924	[55]	1	2	58	[56, 57, 58]
640	[56, 55, 57]	0	3	62	[59, 60, 62]
2999	[55]	1	2	58	[58]
2596	[55, 57, 56, 58]	1	2	59	[59]
2065	[55]	2	2	62	[56, 57, 58, 59, 60, 61, 62]
774	[56, 61, 55, 62, 57, 58]	0	1	59	[59]
2185	[55]	1	2	57	[56, 57]
3878	[55, 56, 57, 58, 59, 60]	2	2	62	[61, 62]
2238	[55]	2	0	63	[57, 58, 59, 60, 56, 61, 63]
1699	[55, 56, 57, 61, 58, 59]	2	2	60	[60]
3885	[58, 55]	1	2	57	[56, 57]
726	[55, 56, 57]	0	0	60	[58, 59, 62, 60]
2513	[55, 58, 62, 56]	2	2	61	[57, 59, 60, 61]
1873	[55, 57]	1	1	56	[58, 56]
